# Auto-generated random trace
# Count: 50 | Address bits: 16 | Write ratio: 0.3
# Generated by: pool-1-thread-1

<<<<<<< HEAD
W 0x0000B1FC
W 0x0000BE10
R 0x0000A2A8
W 0x00003440
W 0x00007458
R 0x0000D654
W 0x00000AE8
W 0x000017FC
W 0x0000E63C
R 0x00002438
R 0x0000E830
R 0x00002AE8
W 0x00006814
W 0x0000157C
W 0x0000AC24
W 0x0000F8F4
W 0x0000B4F4
W 0x0000A498
R 0x00000C8C
R 0x000034A4
W 0x00008108
R 0x0000740C
R 0x00001208
W 0x0000E014
R 0x0000B344
W 0x000016CC
W 0x00002B10
W 0x0000161C
R 0x00000E74
W 0x00008D38
R 0x000061F0
W 0x00003FC4
W 0x000063A0
W 0x00004C30
R 0x0000E798
W 0x0000F0A4
W 0x00000810
W 0x0000B284
R 0x0000B2C8
R 0x0000F7C0
W 0x00001418
W 0x0000A444
R 0x0000E2CC
W 0x0000EF60
W 0x0000DE90
R 0x000034D8
R 0x0000112C
R 0x000072F8
R 0x0000EE78
R 0x0000D9F8
=======
R 0x0000246C
R 0x000080E8
R 0x0000E2DC
R 0x0000C13C
R 0x00007728
R 0x000081F4
W 0x000068B0
R 0x00007678
W 0x00007504
R 0x00005640
W 0x00002E20
R 0x0000269C
R 0x00001F04
R 0x0000AC68
W 0x0000A160
R 0x00001844
R 0x0000E850
W 0x000066D4
R 0x00001EDC
W 0x0000B408
W 0x00000068
R 0x00009ADC
R 0x00000144
R 0x00000CF4
R 0x0000F8DC
R 0x00007A58
R 0x0000B190
R 0x00000BC4
R 0x00003288
R 0x0000735C
R 0x0000B6E8
W 0x0000D88C
R 0x0000A10C
R 0x00004C58
W 0x0000C6C4
R 0x0000BE64
R 0x0000E110
R 0x00004420
R 0x0000D4D4
R 0x0000C804
R 0x0000CB4C
R 0x00001724
W 0x0000DCF8
R 0x0000DA94
R 0x00006CE0
R 0x00005658
W 0x0000518C
R 0x0000FBAC
W 0x00007448
W 0x00000018
>>>>>>> c9ba553 (chore: updated readme)
